timestamp,a1,a2,a3,a4
1746224000.0,1.51797,1.60931,-1.10329,-1.67084
1746224000.033333,0.442086,0.743778,-0.508002,-0.383773
1746224000.066666,-5.46788,-7.393,-0.810406,-1.77303
1746224000.099999,-2.92546,-2.0745,1.25841,-0.521128
1746224000.133332,3.87789,-4.34667,1.38037,1.47563
1746224000.166665,4.34154,-4.67301,1.8864,4.18639
1746224000.199998,-3.15315,0.0153116,4.12035,4.55824
1746224000.233331,-0.724709,-7.1274,3.19769,-2.55348
1746224000.266664,2.19723,-2.75538,-3.55798,-1.18109
1746224000.299997,-8.76772,-3.44982,-3.54542,-2.94234
1746224000.33333,-12.7005,-4.30803,1.70126,-5.03407
1746224000.366663,6.16752,-0.596828,0.0315527,15.5028
1746224000.399996,9.49096,-2.51459,2.02587,0.143304
1746224000.433329,-4.38942,-1.76769,3.70441,-1.77303
1746224000.466662,0.394325,-1.34265,1.04058,-10.045
1746224000.499995,-5.30587,-3.68383,1.83287,-5.69706
1746224000.533328,-1.30845,-1.60364,5.96458,-3.08704
1746224000.566661,7.48873,0.922742,7.06948,-5.66161
1746224000.599994,11.0498,-2.66292,-2.27124,7.01505
1746224000.633327,-4.39064,6.47199,-5.03606,4.77847
1746224000.66666,-11.2325,4.03482,0.806049,3.71235
1746224000.699993,0.0386823,-0.241882,-1.57869,-1.29092
1746224000.733326,0.439917,1.33355,-1.59042,0.290314
1746224000.766659,-7.74679,-5.68958,2.66379,-4.24324
1746224000.799992,0.913746,0.598437,-0.622644,3.34944
1746224000.833325,3.65929,-0.331771,2.29807,-2.43472
1746224000.866658,1.25853,-5.08992,3.91976,-3.36002
1746224000.899991,0.636939,0.766012,0.0130671,-3.11068
1746224000.933324,-3.28884,0.0216833,-4.52658,1.15076
1746224000.966657,-9.75147,-0.337737,-2.39734,-0.715413
1746224000.99999,-0.189276,0.0814737,-1.70837,-1.30648
1746224001.033323,4.59813,-2.13768,-4.47843,-3.03862
1746224001.066656,-5.08605,-2.16656,-0.654512,3.7259
1746224001.099989,-7.43986,1.18238,6.6723,-0.325979
1746224001.133322,10.8194,-8.57986,2.3,1.69888
1746224001.166655,11.406,-7.62565,-1.45191,0.88859
1746224001.199988,-10.0916,-3.71189,7.07928,-3.63459
1746224001.233321,5.93915,-5.94434,1.58469,-0.454974
1746224001.266654,13.6847,1.24881,-4.40807,-4.19337
1746224001.299987,-9.1813,-0.0977621,-1.3552,-4.72434
1746224001.33332,-5.78743,5.6356,-3.97254,-3.09742
1746224001.366653,5.02379,3.98018,-8.42748,0.940764
1746224001.399986,-1.26394,8.07006,-6.43757,2.13962
1746224001.433319,0.828398,4.85101,-3.40953,4.1861
1746224001.466652,5.31118,2.69883,-2.25193,0.975643
1746224001.499985,2.05992,3.64761,-2.0959,2.08947
1746224001.533318,-4.30787,2.74059,1.79038,-0.296145
1746224001.566651,-3.46143,-2.04169,3.52879,-4.09681
1746224001.599984,1.81948,-1.51267,2.09554,0.884122
1746224001.633317,0.805331,-0.0478692,6.89386,-4.52645
1746224001.66665,-0.862702,-2.45304,5.56022,0.399562
1746224001.699983,4.43354,4.61456,-0.199249,7.90519
1746224001.733316,-1.74536,-3.56303,-2.01698,-1.17879
1746224001.766649,-7.1488,0.808855,-1.52875,-1.93878
1746224001.799982,-2.44199,3.69208,-3.56901,-1.34482
1746224001.833315,-1.45824,-3.97248,-3.2804,1.61211
1746224001.866648,-3.81341,-2.43447,0.356032,-2.09789
1746224001.899981,2.8206,-0.189414,3.50258,-4.28835
1746224001.933314,11.4838,-4.95827,1.51736,-6.13305
1746224001.966647,3.40555,-1.60622,1.90778,-0.627208
1746224001.99998,-4.69417,2.86044,1.73837,-6.41165
1746224002.033313,-2.74255,-1.64757,0.0177594,1.09556
1746224002.066646,4.07559,6.24612,2.11265,2.2088
1746224002.099979,6.05449,5.57771,1.34229,5.43641
1746224002.133312,1.26247,0.649685,2.04064,3.04388
1746224002.166645,-0.560656,5.84101,1.9024,-3.00518
1746224002.199978,2.28652,1.7613,0.0603886,1.17512
1746224002.233311,-1.02417,-1.73569,-2.15535,-3.86519
1746224002.266644,-5.14181,1.89525,-2.21619,1.50445
1746224002.299977,-1.47235,1.34873,-3.39546,-0.405251
1746224002.33331,2.55112,-2.86276,-3.32496,2.54823
1746224002.366643,0.40342,3.89057,-1.5144,0.917126
1746224002.399976,-1.24887,1.27457,-0.0986767,1.38929
1746224002.433309,-0.369061,1.09954,-0.906973,-1.00828
1746224002.466642,-0.536502,1.73323,-1.30236,-2.60249
1746224002.499975,-2.95544,1.02334,-1.11722,-4.4897
1746224002.533308,-3.38721,-1.03353,-0.0404582,-3.17698
1746224002.566641,2.05232,-0.802367,0.704101,0.0850736
1746224002.599974,5.1432,0.835563,0.535655,3.46935
1746224002.633307,3.44477,-4.58529,1.89854,0.837279
1746224002.66664,1.83956,1.00151,0.107709,-0.0945104
1746224002.699973,0.291884,0.586504,-0.96726,0.301987
1746224002.733306,-3.15735,-2.11559,-0.756874,-2.99062
1746224002.766639,-0.944928,3.46132,-1.38403,-2.60696
1746224002.799972,0.632465,-0.0256351,-1.57579,-0.900332
1746224002.833305,0.681992,-0.396851,-1.00354,1.16993
1746224002.866638,0.869923,2.31297,-1.71885,4.40316
1746224002.899971,1.27903,2.14729,0.206763,1.47361
1746224002.933304,2.24758,0.767502,0.298643,1.87544
1746224002.966637,0.413463,3.83674,0.203866,1.78939
1746224002.99997,-3.89089,2.40869,0.475092,-1.67935
1746224003.033303,-2.33683,-0.267237,0.77515,0.0787315
1746224003.066636,0.531513,4.0919,2.58875,-0.905953
1746224003.099969,0.158638,-1.46616,2.61675,2.30105
1746224003.133302,-0.0226438,1.16936,1.77093,-0.465353
1746224003.166635,0.378727,2.2102,1.04638,2.21745
1746224003.199968,-0.274755,-0.234156,0.42115,-2.52019
1746224003.233301,-1.25254,-1.05441,-1.06976,10.2311
1746224003.266634,-2.75557,1.55562,-0.672029,2.5844
1746224003.299967,-0.851843,-0.542056,-0.200902,-3.21345
1746224003.3333,3.81805,-0.4763,-0.913179,-3.74398
1746224003.366633,-2.85354,1.44241,0.154202,-3.53658
1746224003.399966,-7.38028,-3.78931,3.39456,1.39448
1746224003.433299,4.02254,-0.13437,2.8986,-0.575755
1746224003.466632,7.80883,-2.89544,-0.179243,11.2658
1746224003.499965,-1.55254,-3.00837,0.407769,3.75299
1746224003.533298,-4.16484,-1.70993,1.88047,4.98644
1746224003.566631,-0.115726,-0.37665,1.79425,-3.36161
1746224003.599964,0.478595,-1.96021,0.98264,-2.44006
1746224003.633297,-5.38347,-0.070919,2.81307,-4.59694
1746224003.66663,-3.28788,0.564404,2.47507,-2.80686
1746224003.699963,2.64068,-1.48582,-0.0685998,-3.03401
1746224003.733296,3.39199,0.606027,0.431222,1.20798
1746224003.766629,-0.661877,-0.146301,0.763425,1.70306
1746224003.799962,1.30861,0.348156,0.595806,1.60044
1746224003.833295,4.09378,2.20491,-1.62339,-0.619859
1746224003.866628,0.333272,2.80417,-1.32443,-0.0822606
1746224003.899961,-5.29704,3.02638,-0.977605,-2.48949
1746224003.933294,-2.0584,4.1601,-0.177586,-1.80877
1746224003.966627,4.14832,1.90637,0.451088,-0.748278
1746224003.99996,3.88495,1.18373,1.59228,0.330379
1746224004.033293,2.63932,0.0250706,0.766461,1.06731
1746224004.066626,1.80564,-1.45477,-1.01982,-0.340683
1746224004.099959,1.5481,-1.55809,-2.12128,0.479263
1746224004.133292,0.0617575,-1.28923,-3.10299,-0.273663
1746224004.166625,-0.981425,-0.693634,-2.97441,1.02335
1746224004.199958,-0.655227,0.433163,-3.05084,1.16791
1746224004.233291,1.00521,0.710151,-2.24916,2.68731
1746224004.266624,0.0294637,0.0582874,-1.84812,4.8145
1746224004.299957,0.238155,-0.314555,0.0486654,3.06291
1746224004.33329,2.94272,-2.74711,-1.82894,1.03445
1746224004.366623,1.58325,1.31226,-2.48893,2.76816
